customer_id,tenure_months,monthly_charges,contract_type,churned,support_calls,satisfaction,region,paperless
C00154,18,86.36,Month-to-month,No,1,2.0,North,Yes
C00155,10,52.57,Two year,No,3,,North,No
C00156,29,59.6,One year,No,5,3.0,South,Yes
C00157,61,91.72,Month-to-month,No,3,1.0,East,Yes
C00158,54,100.16,One year,No,2,1.0,North,No
C00159,10,86.78,Two year,Yes,2,1.0,North,Yes
C00160,22,88.49,Month-to-month,No,0,4.0,North,No
C00161,10,74.63,Month-to-month,Yes,3,,West,No
C00162,34,77.77,Month-to-month,No,2,3.0,North,No
C00163,25,60.44,Month-to-month,No,0,4.0,East,No
C00164,58,37.93,One year,No,5,1.0,East,No
C00165,35,53.72,Month-to-month,No,5,3.0,North,Yes
C00166,17,74.9,Month-to-month,Yes,2,2.0,East,Yes
C00167,10,68.74,Month-to-month,Yes,2,5.0,South,No
C00168,44,47.55,Month-to-month,No,5,3.0,East,Yes
C00169,50,73.33,Month-to-month,Yes,1,5.0,North,Yes
C00170,20,58.27,One year,No,4,3.0,East,Yes
C00171,41,52.89,Month-to-month,No,3,3.0,West,No
C00172,70,67.34,Month-to-month,No,1,5.0,North,No
C00173,14,54.22,Two year,Yes,3,5.0,East,Yes
C00174,16,48.9,Two year,No,5,3.0,East,No
C00175,45,90.68,Month-to-month,No,2,2.0,North,Yes
C00176,43,39.75,Month-to-month,No,4,4.0,East,No
C00177,4,38.26,Month-to-month,Yes,4,1.0,East,Yes
C00178,50,74.06,Month-to-month,Yes,2,2.0,South,No
C00179,16,75.73,Month-to-month,Yes,3,5.0,South,No
C00180,10,67.28,Two year,Yes,4,5.0,East,No
C00181,15,54.3,One year,Yes,1,3.0,East,Yes
C00182,40,57.48,Month-to-month,No,4,2.0,West,No
C00183,59,59.87,Two year,No,2,5.0,North,Yes
C00184,28,66.05,Month-to-month,Yes,6,2.0,West,No
C00185,72,101.92,Month-to-month,No,4,1.0,North,Yes
C00186,45,68.16,Month-to-month,No,2,1.0,East,No
C00187,54,73.04,Month-to-month,No,2,1.0,South,No
C00188,4,104.56,Two year,Yes,6,5.0,North,Yes
C00189,44,70.49,Month-to-month,No,2,1.0,East,Yes
C00190,19,74.01,One year,Yes,0,,East,No
C00191,5,85.63,Month-to-month,No,2,4.0,East,Yes
C00192,51,73.17,Two year,No,4,4.0,South,No
C00193,9,69.21,One year,Yes,5,5.0,South,Yes
C00194,36,77.49,Month-to-month,No,4,5.0,East,Yes
C00195,44,75.81,Month-to-month,No,2,3.0,North,No
C00196,60,49.63,Two year,No,3,2.0,West,No
C00197,8,79.86,Month-to-month,Yes,1,1.0,East,Yes
C00198,29,110.52,Month-to-month,No,4,5.0,West,Yes
C00199,31,81.79,Two year,No,4,2.0,North,Yes
C00200,27,79.47,Month-to-month,Yes,1,5.0,East,No
C00201,72,89.4,Month-to-month,Yes,1,,East,No
C00202,48,58.35,Month-to-month,No,2,4.0,West,No
C00203,14,69.31,Month-to-month,No,5,4.0,South,No
C00204,34,91.06,Month-to-month,No,5,4.0,West,Yes
C00205,72,100.77,Month-to-month,No,6,4.0,North,No
C00206,32,60.12,Month-to-month,No,0,2.0,West,No
C00207,45,65.3,Month-to-month,No,2,1.0,East,Yes
C00208,56,113.26,Month-to-month,No,5,1.0,West,No
C00209,44,61.73,Two year,No,2,3.0,North,No
C00210,72,96.82,One year,No,6,5.0,South,Yes
C00211,38,77.72,Month-to-month,No,1,4.0,East,No
C00212,49,78.43,Month-to-month,No,3,4.0,East,No
C00213,15,58.5,One year,Yes,0,,North,No
C00214,67,90.97,Month-to-month,No,2,3.0,East,Yes
C00215,12,98.44,Month-to-month,Yes,0,3.0,South,No
C00216,72,45.37,One year,No,4,1.0,North,No
C00217,27,67.66,Month-to-month,No,3,4.0,East,No
C00218,21,80.47,One year,Yes,3,2.0,East,No
C00219,22,57.67,Two year,No,3,3.0,North,No
C00220,49,51.12,Two year,No,2,3.0,West,Yes
C00221,37,92.17,Month-to-month,No,5,1.0,East,Yes
C00222,55,93.86,Month-to-month,No,1,5.0,South,Yes
C00223,10,65.91,Month-to-month,Yes,2,2.0,West,No
C00224,54,67.82,One year,No,6,4.0,West,No
C00225,12,38.25,Two year,Yes,3,4.0,West,No
C00226,15,43.88,Two year,No,1,,West,No
C00227,20,76.23,Month-to-month,No,3,2.0,North,No
C00228,19,60.57,Two year,No,2,3.0,North,Yes
C00229,21,56.6,Month-to-month,No,1,5.0,North,Yes
C00230,27,47.11,Two year,No,4,4.0,West,Yes
C00231,27,54.83,Month-to-month,No,2,3.0,South,Yes
C00232,16,82.19,Month-to-month,Yes,3,5.0,South,No
C00233,24,38.58,Month-to-month,No,0,3.0,West,No
C00234,7,41.79,Two year,Yes,3,5.0,North,Yes
C00235,15,40.47,Month-to-month,Yes,2,4.0,South,No
C00236,59,81.54,Month-to-month,No,1,1.0,South,Yes
C00237,2,41.55,Month-to-month,Yes,2,2.0,South,Yes
C00238,36,74.57,Month-to-month,No,2,1.0,East,No
C00239,39,89.51,Two year,No,3,2.0,East,No
C00240,18,104.12,Month-to-month,Yes,2,1.0,South,Yes
C00241,24,41.49,Month-to-month,Yes,3,1.0,North,Yes
C00242,26,69.37,One year,No,0,1.0,East,Yes
C00243,56,56.2,Month-to-month,No,3,4.0,East,Yes
C00244,54,52.52,Month-to-month,No,2,3.0,East,Yes
C00245,6,71.96,Month-to-month,Yes,2,3.0,South,No
C00246,36,96.11,Month-to-month,No,4,4.0,West,Yes
C00247,49,84.79,Month-to-month,No,0,5.0,East,No
C00248,43,61.13,Month-to-month,No,2,3.0,West,Yes
C00249,45,86.69,Month-to-month,No,0,3.0,East,Yes
C00250,23,23.61,One year,No,2,4.0,South,Yes
C00251,5,46.45,Two year,Yes,3,3.0,South,Yes
C00252,27,45.17,Two year,No,4,3.0,East,Yes
C00253,27,75.41,Month-to-month,No,3,2.0,East,Yes
C00254,19,70.35,Month-to-month,No,4,1.0,East,No
C00255,38,57.45,Two year,Yes,3,1.0,East,No
C00256,16,60.86,One year,Yes,2,4.0,South,Yes
C00257,43,74.4,Month-to-month,No,2,5.0,North,No
C00258,35,83.72,Month-to-month,No,0,3.0,South,No
C00259,52,76.69,Month-to-month,No,3,1.0,West,No
C00260,61,68.88,Month-to-month,No,4,4.0,East,No
C00261,1,81.23,Month-to-month,Yes,3,5.0,West,No
C00262,13,88.87,Month-to-month,No,5,3.0,East,No
C00263,52,49.99,Two year,No,2,1.0,West,Yes
C00264,6,62.93,One year,Yes,1,1.0,North,No
C00265,25,84.91,One year,No,4,3.0,East,Yes
C00266,46,54.15,Month-to-month,No,1,5.0,North,Yes
C00267,62,96.48,One year,No,1,,North,No
C00268,28,39.9,One year,No,2,4.0,North,Yes
C00269,56,67.78,Month-to-month,No,1,4.0,South,No
C00270,43,46.9,One year,No,1,1.0,North,Yes
C00271,6,103.38,One year,No,8,2.0,South,Yes
C00272,37,50.94,Two year,No,2,1.0,North,Yes
C00273,42,64.98,Month-to-month,No,4,3.0,North,No
C00274,32,53.33,Two year,No,3,1.0,South,No
C00275,44,75.72,Month-to-month,No,2,5.0,South,No
C00276,35,68.09,Month-to-month,No,3,1.0,South,Yes
C00277,72,71.61,Month-to-month,No,6,4.0,South,Yes
C00278,11,18.0,Month-to-month,Yes,6,4.0,South,Yes
C00279,36,75.03,Month-to-month,Yes,5,1.0,North,Yes
C00280,55,74.32,Month-to-month,No,4,2.0,South,Yes
C00281,33,82.69,One year,No,3,4.0,West,No
C00282,36,97.56,Month-to-month,No,1,1.0,North,Yes
C00283,34,56.62,Two year,No,6,3.0,North,Yes
C00284,53,88.69,Month-to-month,No,2,2.0,West,Yes
C00285,21,44.17,One year,No,2,1.0,East,Yes
C00286,56,73.81,Two year,No,2,3.0,South,Yes
C00287,48,49.7,Two year,No,2,3.0,West,No
C00288,72,42.68,One year,No,2,2.0,South,No
C00289,41,60.66,One year,No,4,5.0,East,No
C00290,6,99.21,Month-to-month,Yes,6,1.0,East,Yes
C00291,41,77.26,Month-to-month,No,0,3.0,North,Yes
C00292,9,100.94,Month-to-month,Yes,3,1.0,West,Yes
C00293,64,60.52,Month-to-month,No,4,4.0,East,Yes
C00294,12,92.86,Month-to-month,Yes,5,3.0,North,No
C00295,21,62.26,Month-to-month,Yes,1,4.0,West,Yes
C00296,14,64.06,Two year,Yes,5,1.0,East,No
C00297,26,63.9,Two year,Yes,1,3.0,West,Yes
C00298,12,71.91,Two year,Yes,4,1.0,West,Yes
C00299,52,68.51,One year,No,6,2.0,South,No
C00300,26,60.69,Month-to-month,Yes,4,5.0,West,No
C00301,38,89.85,Month-to-month,No,4,4.0,North,No
C00302,65,95.17,One year,No,1,,South,No
C00303,44,53.49,One year,No,3,2.0,East,Yes
C00304,12,40.97,Month-to-month,Yes,2,5.0,East,Yes
C00305,38,82.99,Month-to-month,No,1,1.0,North,No
C00306,49,68.04,Month-to-month,No,2,4.0,North,Yes
C00307,4,71.64,Month-to-month,No,1,2.0,West,Yes
C00308,36,84.01,Month-to-month,No,3,3.0,West,Yes
C00309,24,65.78,Month-to-month,No,2,5.0,East,No
C00310,55,59.16,One year,No,3,4.0,East,No
C00311,30,58.2,Two year,No,0,2.0,West,No
C00312,46,100.46,Month-to-month,No,2,1.0,North,No
C00313,37,64.54,One year,No,2,2.0,West,Yes
C00314,30,37.76,Two year,No,5,3.0,North,No
C00315,72,52.47,Month-to-month,No,2,1.0,East,Yes
C00316,28,66.51,One year,No,2,5.0,South,Yes
C00317,39,53.67,Month-to-month,No,1,1.0,West,No
C00318,37,35.88,One year,No,2,3.0,North,Yes
C00319,15,85.44,Month-to-month,Yes,1,5.0,East,Yes
C00320,17,72.32,Two year,Yes,3,2.0,North,No
C00321,49,53.37,Two year,No,3,3.0,North,Yes
C00322,29,79.29,Month-to-month,No,2,1.0,South,No
C00323,71,77.39,Month-to-month,No,3,4.0,West,Yes
C00324,14,84.84,Month-to-month,Yes,4,5.0,South,No
C00325,30,74.89,One year,No,1,4.0,East,Yes
C00326,1,18.0,One year,Yes,3,1.0,East,No
C00327,18,69.67,Month-to-month,No,0,2.0,West,No
C00328,21,69.32,Two year,No,2,,South,Yes
C00329,15,66.61,Month-to-month,No,6,4.0,North,Yes
C00330,25,74.65,Month-to-month,Yes,1,3.0,West,Yes
C00331,64,87.51,Month-to-month,No,2,5.0,South,Yes
C00332,41,75.46,Month-to-month,No,2,2.0,North,Yes
C00333,24,101.14,Month-to-month,Yes,0,4.0,West,Yes
C00334,37,94.29,Month-to-month,No,1,3.0,West,Yes
C00335,57,71.87,Month-to-month,No,1,4.0,North,No
C00336,26,56.44,Two year,No,2,3.0,West,No
C00337,32,22.69,Month-to-month,No,0,3.0,East,No
C00338,72,54.12,Two year,No,3,5.0,South,No
C00339,72,39.64,One year,Yes,2,5.0,East,No
C00340,17,67.98,One year,No,3,5.0,North,Yes
C00341,10,76.75,Month-to-month,Yes,3,1.0,North,No
C00342,9,76.53,One year,Yes,5,3.0,North,Yes
C00343,51,99.14,Month-to-month,No,3,4.0,North,No
C00344,18,73.53,Month-to-month,Yes,0,5.0,East,No
C00345,12,115.05,Month-to-month,Yes,2,2.0,West,Yes
C00346,29,78.18,Month-to-month,Yes,3,4.0,South,Yes
C00347,20,36.42,Two year,No,2,3.0,North,Yes
C00348,18,49.88,Two year,No,4,2.0,South,Yes
C00349,21,57.29,One year,No,1,5.0,East,Yes
C00350,57,84.66,Month-to-month,No,1,3.0,West,Yes
C00351,48,42.95,Two year,No,1,4.0,East,Yes
C00352,28,58.64,One year,No,1,2.0,South,Yes
C00353,27,71.1,Month-to-month,No,1,1.0,East,No
C00354,46,65.93,Month-to-month,No,2,3.0,North,Yes
C00355,42,78.61,One year,No,3,4.0,South,Yes
C00356,14,85.54,Month-to-month,Yes,1,2.0,East,No
C00357,9,95.0,Month-to-month,Yes,4,5.0,North,No
C00358,21,58.04,One year,No,1,4.0,North,Yes
C00359,24,95.65,Month-to-month,No,1,,West,Yes
C00360,16,49.45,Month-to-month,Yes,1,5.0,North,Yes
C00361,43,49.01,Month-to-month,No,3,5.0,North,Yes
C00362,11,42.15,One year,No,1,4.0,East,No
C00363,38,60.17,Two year,No,5,5.0,South,Yes
C00364,72,81.64,Two year,No,2,4.0,West,Yes
C00365,54,53.16,One year,No,4,,West,Yes
C00366,8,55.42,One year,Yes,2,1.0,West,No
C00367,25,60.11,One year,No,2,2.0,South,Yes
C00368,44,84.31,Month-to-month,No,2,5.0,West,Yes
C00369,21,65.4,Month-to-month,Yes,1,3.0,South,No
C00370,16,54.4,One year,Yes,2,1.0,North,No
C00371,43,39.78,One year,No,3,5.0,West,Yes
C00372,32,63.71,Month-to-month,No,1,4.0,East,No
C00373,41,81.19,Two year,No,1,,North,No
C00374,17,65.64,One year,No,1,1.0,West,Yes
C00375,64,60.68,Month-to-month,No,2,1.0,North,No
C00376,20,96.25,Month-to-month,Yes,0,3.0,East,Yes
C00377,52,63.47,Month-to-month,No,1,1.0,South,Yes
C00378,72,99.56,Month-to-month,No,1,,North,No
C00379,31,99.26,Month-to-month,No,1,2.0,West,No
C00380,42,75.01,Month-to-month,No,2,2.0,East,Yes
C00381,19,47.03,Month-to-month,Yes,5,4.0,West,Yes
C00382,14,115.21,Month-to-month,Yes,2,1.0,East,Yes
C00383,33,70.97,One year,No,6,5.0,West,Yes
C00384,35,58.17,One year,No,6,1.0,West,Yes
C00385,6,91.21,Month-to-month,Yes,1,3.0,West,Yes
C00386,37,86.64,Month-to-month,No,2,5.0,East,Yes
C00387,14,97.6,Month-to-month,Yes,2,1.0,North,No
C00388,36,62.08,Month-to-month,No,1,5.0,South,No
C00389,18,79.73,Month-to-month,Yes,0,2.0,East,No
C00390,39,52.65,Month-to-month,No,2,4.0,North,Yes
C00391,50,85.99,Month-to-month,No,3,5.0,North,No
C00392,27,59.59,Two year,No,2,2.0,South,No
C00393,42,79.06,Month-to-month,No,5,2.0,West,No
C00394,27,57.37,Two year,No,1,5.0,South,No
C00395,30,69.48,Month-to-month,No,2,1.0,West,Yes
C00396,7,58.37,Month-to-month,Yes,2,,West,No
C00397,34,74.23,Two year,No,1,2.0,South,No
C00398,59,100.81,Month-to-month,No,3,4.0,North,Yes
C00399,30,53.98,One year,No,2,5.0,West,No
C00400,40,69.96,Two year,No,1,3.0,West,Yes
C00401,56,71.78,One year,Yes,1,3.0,East,Yes
C00402,3,74.15,Month-to-month,Yes,1,5.0,West,Yes
C00403,14,46.52,Month-to-month,No,2,1.0,North,Yes
C00404,53,50.57,Month-to-month,Yes,4,5.0,South,No
C00405,25,59.94,Month-to-month,Yes,3,2.0,East,Yes
C00406,29,35.5,Month-to-month,No,2,2.0,North,Yes
C00407,17,85.34,Two year,Yes,2,5.0,West,Yes
C00408,28,70.62,One year,No,0,4.0,East,No
C00409,13,73.46,Month-to-month,Yes,3,3.0,South,No
C00410,32,34.58,Month-to-month,No,2,2.0,North,Yes
C00411,38,31.17,One year,No,2,3.0,North,Yes
C00412,33,59.96,Two year,No,2,4.0,East,Yes
C00413,10,109.47,Month-to-month,Yes,2,1.0,West,Yes
C00414,42,61.42,Month-to-month,No,6,1.0,North,Yes
C00415,15,75.55,Two year,No,3,2.0,South,No
C00416,24,51.36,Two year,No,2,3.0,East,No
C00417,7,60.99,Two year,Yes,3,5.0,South,No
C00418,17,95.86,Month-to-month,No,1,2.0,East,Yes
C00419,9,67.77,Month-to-month,Yes,8,4.0,East,No
C00420,30,61.58,Month-to-month,No,1,5.0,West,Yes
C00421,29,99.53,Month-to-month,No,1,3.0,East,No
C00422,56,60.82,Two year,No,3,5.0,East,No
C00423,61,93.64,Month-to-month,No,2,5.0,South,No
C00424,21,51.67,One year,No,4,4.0,North,Yes
C00425,21,85.32,Two year,Yes,3,2.0,North,Yes
C00426,12,64.93,Two year,No,1,2.0,North,Yes
C00427,7,71.83,One year,Yes,0,5.0,West,No
C00428,37,62.37,Two year,No,1,3.0,North,No
C00429,7,64.9,Month-to-month,Yes,3,1.0,South,Yes
C00430,34,73.97,Month-to-month,Yes,3,4.0,East,No
C00431,4,66.03,Month-to-month,Yes,1,2.0,East,Yes
C00432,24,77.27,Two year,No,1,5.0,North,Yes
C00433,3,56.34,Two year,Yes,1,5.0,West,No
C00434,69,47.06,Month-to-month,No,3,1.0,South,No
C00435,22,43.77,Month-to-month,No,4,5.0,North,No
C00436,37,42.92,Month-to-month,No,3,5.0,North,No
C00437,46,85.12,Month-to-month,No,0,4.0,West,No
C00438,19,39.27,Two year,Yes,0,2.0,West,No
C00439,38,79.4,Month-to-month,No,0,4.0,West,Yes
C00440,1,66.46,One year,Yes,3,5.0,South,No
C00441,39,62.84,One year,No,2,5.0,West,No
C00442,21,81.89,Month-to-month,Yes,4,3.0,South,No
C00443,22,76.85,Month-to-month,No,2,,North,Yes
C00444,32,18.0,Two year,No,0,2.0,West,No
C00445,10,58.17,One year,No,0,2.0,South,Yes
C00446,17,81.65,Month-to-month,Yes,2,4.0,East,Yes
C00447,29,103.53,Month-to-month,No,0,3.0,East,Yes
C00448,72,90.36,Two year,No,4,2.0,North,Yes
C00449,65,35.46,Two year,No,3,4.0,West,Yes
C00450,46,53.7,Two year,No,1,2.0,North,Yes
C00451,21,35.81,One year,Yes,2,3.0,West,Yes
C00452,22,87.36,Two year,No,2,2.0,South,Yes
C00453,39,92.23,Month-to-month,No,3,5.0,South,No
C00454,52,70.31,One year,No,2,5.0,South,No
C00455,22,76.99,Month-to-month,No,0,3.0,East,Yes
C00456,33,88.85,One year,Yes,1,4.0,North,Yes
C00457,43,81.8,Two year,No,2,1.0,North,No
C00458,10,80.84,Two year,Yes,4,5.0,East,No
C00459,48,82.22,Month-to-month,No,0,2.0,East,No
C00460,61,57.71,One year,No,1,5.0,West,Yes
C00461,23,73.81,Two year,No,2,5.0,West,Yes
C00462,36,74.69,Two year,Yes,3,1.0,West,Yes
C00463,60,60.57,One year,No,4,1.0,West,No
C00464,38,67.68,Month-to-month,No,2,4.0,West,Yes
C00465,56,94.4,Month-to-month,No,2,5.0,South,Yes
C00466,33,89.95,Two year,No,1,4.0,West,Yes
C00467,59,50.51,One year,Yes,1,1.0,West,No
C00468,38,59.26,One year,No,5,4.0,East,No
C00469,72,70.32,One year,No,1,2.0,North,Yes
C00470,54,82.76,Month-to-month,No,3,5.0,North,No
C00471,26,64.6,Month-to-month,No,6,5.0,South,Yes
C00472,41,93.9,Two year,No,1,4.0,East,No
C00473,32,81.6,Month-to-month,No,4,3.0,East,Yes
C00474,29,73.56,One year,No,4,2.0,West,No
C00475,47,95.66,One year,No,1,,East,No
C00476,43,51.92,Two year,No,2,1.0,East,Yes
C00477,23,72.41,Month-to-month,No,2,1.0,West,Yes
C00478,38,41.44,One year,No,3,1.0,West,Yes
C00479,28,70.9,Month-to-month,No,2,3.0,East,No
C00480,46,47.2,Month-to-month,No,2,1.0,East,No
C00481,28,87.46,Month-to-month,No,2,3.0,North,Yes
